Borough,Percentage_Change
Barking and Dagenham,27.54
Barnet,22.28
Bexley,40.21
Brent,65.16
Bromley,28.13
Camden,18.36
City of London,19.77
Croydon,26.51
Ealing,33.22
Enfield,24.61
Greenwich,25.93
Hackney,33.85
Hammersmith and Fulham,33.15
Haringey,22.28
Harrow,27.29
Havering,35.03
Hillingdon,31.89
Hounslow,31.59
Islington,26.87
Kensington and Chelsea,23.02
Kingston upon Thames,20.54
Lambeth,26.22
Lewisham,27.59
Merton,25.61
Newham,26.65
Redbridge,30.64
Richmond upon Thames,20.25
Southwark,23.29
Sutton,29.05
Tower Hamlets,28.86
Waltham Forest,29.47
Wandsworth,25.99
Westminster,29.79
